,proportion,type,ROI,net,layer
112,0.2711744493203648,perceptual,IT,dctrained,ReLu7
113,0.28906333975742277,semantic,IT,dctrained,ReLu7
114,0.09357335357942262,perceptual,IT,dctrained,ReLu7
115,0.1751231054848747,semantic,IT,dctrained,ReLu7
116,0.5995874894172377,perceptual,IT,dctrained,ReLu7
117,0.15694927752172066,semantic,IT,dctrained,ReLu7
118,0.14136533512628718,perceptual,IT,dctrained,ReLu7
119,0.15461599715728827,semantic,IT,dctrained,ReLu7
120,0.8452938587165093,perceptual,IT,alexnettrained,ReLu2
121,0.3987411698034296,semantic,IT,alexnettrained,ReLu2
122,-3.5585605782343785,perceptual,IT,alexnettrained,ReLu2
123,0.8138439770706455,semantic,IT,alexnettrained,ReLu2
124,0.6140584585839844,perceptual,IT,alexnettrained,ReLu2
125,0.6419537284258394,semantic,IT,alexnettrained,ReLu2
126,-0.050690991600851165,perceptual,IT,alexnettrained,ReLu2
127,0.18547410159847028,semantic,IT,alexnettrained,ReLu2
128,0.051022940676847296,perceptual,IT,alexnettrained,ReLu2
129,0.04246505238936979,semantic,IT,alexnettrained,ReLu2
130,2.139316751653261,perceptual,IT,alexnettrained,ReLu2
131,1.8707485213141992,semantic,IT,alexnettrained,ReLu2
132,0.5963289626041174,perceptual,IT,alexnettrained,ReLu2
133,0.4455052446194847,semantic,IT,alexnettrained,ReLu2
134,0.10529264756184041,perceptual,IT,alexnettrained,ReLu2
135,0.11419044699123217,semantic,IT,alexnettrained,ReLu2
136,0.4555264429042737,perceptual,IT,alexnettrained,ReLu2
137,0.31692904563634733,semantic,IT,alexnettrained,ReLu2
138,0.2794168901649172,perceptual,IT,alexnettrained,ReLu2
139,0.3704122591899257,semantic,IT,alexnettrained,ReLu2
140,0.16351455598760095,perceptual,IT,alexnettrained,ReLu2
141,0.35477124970283114,semantic,IT,alexnettrained,ReLu2
142,1.4126365598596733,perceptual,IT,alexnettrained,ReLu2
143,0.45382394814878696,semantic,IT,alexnettrained,ReLu2
144,0.337161882285945,perceptual,IT,alexnettrained,ReLu2
145,0.25896836760479164,semantic,IT,alexnettrained,ReLu2
146,1.4066166266640012,perceptual,IT,alexnettrained,ReLu2
147,0.3155516076932221,semantic,IT,alexnettrained,ReLu2
148,0.36339546283408314,perceptual,IT,alexnettrained,ReLu2
